Solution,Cost
"[26 20 11 18 33 29  2  1  5  4 16 31 32 21 28 30 35 34 14  8  9 13 27 17
 15 25 10  6  3 24 22  7 23 12 19]",232910.59999999998
"[35 16  5 29 20 19 28 15 23 17 24 27 31 18 12 21 26 33 14  9  7 34 32 22
 13  3  4  1  2  6 25  8 30 11 10]",226048.40000000005
"[17 21 28 27  7 10 13 30 35  8  3 32 31 26  4  6  1  2  5 15 29 22 19 25
 24 16 33 14 20 34 23  9 18 11 12]",232389.90000000002
"[10, 9, 19, 22, 14, 13, 32, 34, 29, 16, 33, 23, 8, 31, 11, 3, 6, 4, 5, 1, 2, 24, 18, 12, 25, 21, 30, 35, 7, 28, 26, 15, 27, 17, 20]",174863.40000000005
"[17 32 33  8 25 23 26 24 29 18 22 21 35 13 27 20 31 30 15 19 16 28 11 10
 14  7 12  3  1  6  5  4  2  9 34]",176930.00000000003
"[10 13 29 28 31 15 24 22 18 33 25 26 14 17  7 23 12 34 11 32  6  2  1  3
  5 20  9  8 35  4 30 21 19 27 16]",230843.69999999998
"[ 4 29  9 24 10 25 26 23 22 11 17 32 19 12 16 14 35 31 21 18  8 33 13 28
 27  7  3  5  1  6  2 30 20 34 15]",229897.40000000002
"[18  1 26 14 16  7  3  6  2  4  5 30 35 17 27 25 19 15  8 11 22 24 20  9
 21 23 33 13 10 28 12 29 34 32 31]",226418.5
"[29, 31, 32, 9, 17, 20, 15, 13, 33, 8, 24, 11, 18, 22, 14, 7, 28, 12, 23, 26, 30, 3, 2, 25, 16, 19, 21, 10, 1, 6, 5, 4, 27, 34, 35]",232827.2
"[22 33 14 28 31  6  2  3  8 20 27 23 32 34 35 25 13 21 10  5  1  4 30 18
 24  9 26 11 17 19  7 29 15 12 16]",229986.09999999998
